X,Y,Z,Rho,Beta,Alpha
0.0113367084777,-0.104612406109,0.0514658689499,0.0170742945614,-0.135098888873,-0.0862873609918
0.0113367084777,-0.104612406109,0.0514658689499,0.0170742945614,-0.135098888873,-0.0862873609918
0.016651020412,-0.0826552888593,0.0260111093521,0.0178659831332,-0.12649805499,-0.10330834561
0.016651020412,-0.0826552888593,0.0260111093521,0.0235327548635,-0.126484792054,-0.0853562436043
0.0296400534483,-0.130058675894,-0.00396323204041,0.0226924217062,-0.0827314901082,-0.039348940397
0.0408119140331,-0.169524231557,-0.0196241140366,0.022100978449,-0.0528605060154,-0.0127620489082
0.0408119140331,-0.169524231557,-0.0196241140366,0.022100978449,-0.0528605060154,-0.0127620489082
0.0590936950713,-0.218444092983,-0.0358816385269,0.038194273589,-0.015984273122,0.0122146016942
0.0590936950713,-0.218444092983,-0.0358816385269,0.038194273589,-0.015984273122,0.0122146016942
0.0715667713877,-0.23538817496,-0.0631650686264,0.0538289719254,0.0467706463346,0.00673002485289
0.0713113214225,-0.246109061403,-0.0859736204147,0.0731469068155,0.0972906836537,0.00968941551798
0.0705508575587,-0.265420381126,-0.114957213402,0.0764391262069,0.154578450915,0.0350078231627
0.0705508575587,-0.265420381126,-0.114957213402,0.0543846650726,0.172633934433,0.0114994984055
0.0471097032664,-0.222362719318,-0.147809147835,0.0442208327697,0.204454076775,-0.0477464109546
0.0318172922699,-0.165609274113,-0.158566117287,0.0122457741015,0.185641888683,-0.0762800586158
0.0174944016179,-0.108275852587,-0.167392611504,0.0185714143546,0.196013382624,-0.13683656553
0.014219142244,-0.0693623019149,-0.176757931709,-0.0456816381399,0.153948421041,-0.122033619954
0.0153037729773,-0.0445859861142,-0.179607868195,-0.109861630129,0.10145940924,-0.093138417187
0.0197187605749,-0.0354924564832,-0.193732857704,-0.116622242236,0.113565897542,-0.100929443265
0.0254675845276,-0.0396366679021,-0.203640937805,-0.141623325834,0.0861924932175,-0.0845815641466
0.0254675845276,-0.0396366679021,-0.203640937805,-0.128363112923,0.0689514776194,-0.0898016237326
0.0205168303135,-0.0561727744117,-0.215102910995,-0.0993306830273,0.0666553663446,-0.0912124102004
0.0124959740707,-0.0632101275656,-0.211485981941,-0.0785747438205,0.0350115817337,-0.085613853411
0.00814704780193,-0.0555692950195,-0.202153086662,-0.0773923001278,-4.11603607341e-05,-0.0783533588338
0.00529243259056,-0.0411164150581,-0.191365122795,-0.0785734722266,-0.0394992910427,-0.0717641766356
