X,Y,Z,Rho,Beta,Alpha
1.09551242409,0.480743254776,-0.114595174789,0.241439437429,0.165909368214,-0.804661022003
1.03980106022,0.456268011563,-0.105599999428,0.298034133438,0.166416950573,-0.838144664097
0.985595294702,0.432674043714,-0.0981711149216,0.172417752754,0.144830779818,-1.05912070911
0.959346351702,0.421441871145,-0.0938589572906,0.195260647692,0.143555826633,-1.0809532656
0.895436999652,0.394481194992,-0.0852358341217,-0.0705710737892,0.108365865066,-1.06467075473
0.858961446835,0.379554799137,-0.0803765058517,-0.200271517355,0.0958938064207,-0.998009785691
0.858961446835,0.379554799137,-0.0803765058517,-0.200271517355,0.0958938064207,-0.998009785691
0.800664978543,0.355774924854,-0.07222032547,-0.391896876891,0.0785474224062,-0.862451399307
0.778177599455,0.346604511843,-0.0690001249313,-0.445382809551,0.0738600820529,-0.80195310632
0.745528204194,0.333721699449,-0.0641677379608,-0.514612415505,0.0683702576504,-0.629227550055
0.714511070492,0.321025808939,-0.0593289136887,-0.466957562465,0.0676100140148,-0.518381017085
0.684707343231,0.308797711162,-0.054586648941,-0.434771568388,0.0658163125064,-0.521276521078
0.647097481123,0.292582793539,-0.0482729673386,-0.327427313053,0.0665163243925,-0.324287428751
0.629006036399,0.284685065596,-0.0451953411102,-0.262845961314,0.0671602772693,-0.253087821218
0.603336329882,0.273675975268,-0.0406270027161,-0.0860150882413,0.072277382805,-0.143133974508
0.578660345612,0.263112536479,-0.037486076355,0.0398408487334,0.0789044934778,-0.154934990895
0.555154087609,0.253045665994,-0.034707069397,0.0647392681644,0.078028836429,-0.148158024843
0.525135572119,0.240897943441,-0.0309023857117,0.197377573355,0.0866996903806,-0.26656722596
0.510583393233,0.235070924976,-0.029061794281,0.230748163321,0.0875013860874,-0.413468437877
0.482813070727,0.223953026033,-0.0253291130066,0.221557946327,0.0805792637987,-0.56225910489
0.46933647197,0.218611356917,-0.0235234498978,0.0763655758541,0.0643181543896,-0.706180913607
0.45031012047,0.210724189288,-0.0207977294922,0.0960711575498,0.0627006429086,-0.713215153217
0.425810405845,0.200496062537,-0.0173223018646,-0.126905493086,0.0467740751591,-0.6727172734
0.414369451366,0.195869041836,-0.0156615972519,-0.115015367904,0.045782212698,-0.675868587146
0.392195031981,0.186846851604,-0.0123476982117,-0.227384724761,0.0382463199691,-0.579769159155
